UniqueID,appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
299,459470,Wars of Napoleon,game,39.99,05/06/2016 00:00,-1,0,0
300,467000,Insincere,game,39.99,05/12/2016 00:00,-1,0,0
301,428340,Marmoset Hexels 2,game,38.00,2/15/2016 0:00,-1,0,0
302,431600,Automobilista,game,36.99,2/29/2016 0:00,-1,0,1
303,221100,DayZ,game,34.99,12/16/2013 0:00,-1,17,1
304,227300,Euro Truck Simulator 2,game,34.99,1/16/2013 0:00,79,0,0
305,231430,Company of Heroes 2,game,34.99,6/25/2013 0:00,80,17,1
306,236150,Starpoint Gemini 2,game,34.99,9/26/2014 0:00,70,0,0
307,244160,Homeworld Remastered Collection,game,34.99,2/25/2015 0:00,86,0,1
308,252530,OMSI 2: Steam Edition,game,34.99,12/11/2013 00:00,-1,0,0
309,259060,Dominions 4: Thrones of Ascension,game,34.99,12/05/2013 00:00,-1,0,1
310,270830,Global ATC Simulator,game,34.99,11/10/2014 00:00,-1,0,1
311,288140,Jack Nicklaus Perfect Golf,game,34.99,05/03/2016 00:00,-1,0,1
312,288470,Fable Anniversary,game,34.99,09/12/2014 00:00,-1,0,0
313,303290,OZMAFIA!!,game,34.99,4/29/2016 0:00,-1,0,0
314,312980,Graviteam Tactics: Mius-Front,game,34.99,03/04/2016 00:00,-1,0,0
315,314500,Pixeluvo,game,34.99,8/14/2014 0:00,-1,0,0
316,314830,Blackguards 2,game,34.99,1/20/2015 0:00,74,0,0
317,316830,Sprite Lamp,game,34.99,9/25/2014 0:00,-1,0,0
318,321190,Cho Dengeki Stryker All Ages Version,game,34.99,9/19/2014 0:00,-1,0,0
319,324510,Boundless,game,34.99,11/13/2014 0:00,-1,0,1
320,338070,????????? ????????,game,34.99,01/08/2015 00:00,-1,0,0
321,338100,????? ????????,game,34.99,01/08/2015 00:00,-1,0,0
322,343070,World of Subways 4 – New York Line 7,game,34.99,3/23/2015 0:00,-1,0,0
323,344630,Princess Evangile All Ages Version,game,34.99,3/27/2015 0:00,-1,13,0
324,353190,Bombshell,game,34.99,1/29/2016 0:00,-1,0,0
325,366160,Hounds : The Last Hope,game,34.99,1/27/2016 0:00,-1,0,1
